year,filename,drive_id,relative_path,local_path,local_exists,local_size_bytes
2012,data_stream-oper_stepType-avg.nc,1EAwNW1bgqH8G1qoApMFCusBTajLDIbhh,2012/data_stream-oper_stepType-avg.nc,2012/data_stream-oper_stepType-avg.nc,True,265046
2012,data_stream-oper_stepType-instant.nc,1pEkxkqqIjo-AbLAmJrwOgfODa7d1js98,2012/data_stream-oper_stepType-instant.nc,2012/data_stream-oper_stepType-instant.nc,True,744706
2012,data_stream-oper_stepType-max.nc,1qxMr6X25WgCvRyHaNiw4nkNc8atwKY91,2012/data_stream-oper_stepType-max.nc,2012/data_stream-oper_stepType-max.nc,True,316301
2013,data_stream-oper_stepType-avg.nc,1XOMae1hBNMS65SkD_7aum7RF4A5haKQT,2013/data_stream-oper_stepType-avg.nc,2013/data_stream-oper_stepType-avg.nc,True,244685
2013,data_stream-oper_stepType-instant.nc,1K0G-pQJ5QtkUjnNkhOyL4rstYAvyybHl,2013/data_stream-oper_stepType-instant.nc,2013/data_stream-oper_stepType-instant.nc,True,749671
2013,data_stream-oper_stepType-max.nc,1LTdkRwv9URDE1lNm88LKyEs22C0sU8kf,2013/data_stream-oper_stepType-max.nc,2013/data_stream-oper_stepType-max.nc,True,313285
2014,data_stream-oper_stepType-avg.nc,1b7RTgxLwQhaCknHty653iydMKQ3wxfsp,2014/data_stream-oper_stepType-avg.nc,2014/data_stream-oper_stepType-avg.nc,True,245104
2014,data_stream-oper_stepType-instant.nc,1-MTCLG1NrhXN10_3UrNM2rAqBmNfk7Jm,2014/data_stream-oper_stepType-instant.nc,2014/data_stream-oper_stepType-instant.nc,True,735669
2014,data_stream-oper_stepType-max.nc,1km3b80O6HpTnYEFBrX_ay9ezxiBj2m7m,2014/data_stream-oper_stepType-max.nc,2014/data_stream-oper_stepType-max.nc,True,312226
2015,data_stream-oper_stepType-avg.nc,1wc_8qOkqRwb-NAe06n0vuYFaI-OrCbHU,2015/data_stream-oper_stepType-avg.nc,2015/data_stream-oper_stepType-avg.nc,True,242202
2015,data_stream-oper_stepType-instant.nc,1ADjOerR2M8Mr_HQ7g2rJX6ZGrCV9trS2,2015/data_stream-oper_stepType-instant.nc,2015/data_stream-oper_stepType-instant.nc,True,697966
2015,data_stream-oper_stepType-max.nc,1i0qqJUTW8MUQYcwiBmVIe8Sy7yImFu30,2015/data_stream-oper_stepType-max.nc,2015/data_stream-oper_stepType-max.nc,True,312632
2016,data_stream-oper_stepType-avg.nc,1gZTxtR8kI7TEt7omc4w91uYpSWrKgZtH,2016/data_stream-oper_stepType-avg.nc,2016/data_stream-oper_stepType-avg.nc,True,236761
2016,data_stream-oper_stepType-instant.nc,1-xs_7y1dcMi6a-X5ocWlPUJadhAotani,2016/data_stream-oper_stepType-instant.nc,2016/data_stream-oper_stepType-instant.nc,True,733966
2016,data_stream-oper_stepType-max.nc,1GxyjDC5z3uaqaPwWpufK2DYBFbjSwJNI,2016/data_stream-oper_stepType-max.nc,2016/data_stream-oper_stepType-max.nc,True,315302
2017,data_stream-oper_stepType-avg.nc,1h8d2Cc9gi56_pB4GCve2q979z_lVrxi-,2017/data_stream-oper_stepType-avg.nc,2017/data_stream-oper_stepType-avg.nc,True,260887
2017,data_stream-oper_stepType-instant.nc,1kBgGe4uKv_-zlQGTjS8JbF3tJj3iTVW9,2017/data_stream-oper_stepType-instant.nc,2017/data_stream-oper_stepType-instant.nc,True,756086
2017,data_stream-oper_stepType-max.nc,1TaVXPhgIPIkPsQbfXC-gCTl2ZJqZI_tp,2017/data_stream-oper_stepType-max.nc,2017/data_stream-oper_stepType-max.nc,True,313811
2018,data_stream-oper_stepType-avg.nc,10Ts4r0YddHVg-OKQ10AHg4uAMa2Kq4r-,2018/data_stream-oper_stepType-avg.nc,2018/data_stream-oper_stepType-avg.nc,True,250390
2018,data_stream-oper_stepType-instant.nc,11tbpcJEWClDxFdYAzOudVCKkyF-4wKji,2018/data_stream-oper_stepType-instant.nc,2018/data_stream-oper_stepType-instant.nc,True,753759
2018,data_stream-oper_stepType-max.nc,1Hk8ZdfK10Dsi0ru_lTm3a8Vw5ZT_O_rA,2018/data_stream-oper_stepType-max.nc,2018/data_stream-oper_stepType-max.nc,True,313485
2019,data_stream-oper_stepType-avg.nc,1ORmhrfch-aWv9RX41oCxIQNIu1GBlDXO,2019/data_stream-oper_stepType-avg.nc,2019/data_stream-oper_stepType-avg.nc,True,254790
2019,data_stream-oper_stepType-instant.nc,1PXkBkilnIPjTgjbNRN8Fpz7cKaso8kBo,2019/data_stream-oper_stepType-instant.nc,2019/data_stream-oper_stepType-instant.nc,True,746307
2019,data_stream-oper_stepType-max.nc,1zuEU-xBEdjfgV8EjK4VYkLSiLIL7g8OV,2019/data_stream-oper_stepType-max.nc,2019/data_stream-oper_stepType-max.nc,True,314107
2020,data_stream-oper_stepType-avg.nc,1bDnbM-cO5VBv35my43YmdeQvVI1kO1Bw,2020/data_stream-oper_stepType-avg.nc,2020/data_stream-oper_stepType-avg.nc,True,235703
2020,data_stream-oper_stepType-instant.nc,1HJXmU4GnY_EFtwOLSNNLfjJnK2htvxZM,2020/data_stream-oper_stepType-instant.nc,2020/data_stream-oper_stepType-instant.nc,True,734123
2020,data_stream-oper_stepType-max.nc,1XYKXCaQIPfO2dl3K6Z_L5YeA0wv3V2j3,2020/data_stream-oper_stepType-max.nc,2020/data_stream-oper_stepType-max.nc,True,315740
