condition,condition_grid_cell_hours,variable,units,count,missing_count,min,p05,p25,median,mean,p75,p90,p95,p99,max,std
all_winter,487800,t2m_c,degC,487800,0,-17.52308655,-2.496185303,2.714263916,6.394683838,6.127726268,9.737609863,12.38894653,13.84988403,16.80057129,24.87808228,5.02479974
all_winter,487800,dewpoint_depression_c,degC,487800,0,-0.002563476562,0.5954589844,1.86328125,3.563842773,4.527930255,6.385498047,9.553833008,11.62244263,15.27601196,33.69262695,3.500633968
all_winter,487800,precip_rate_mmh,mm h-1,487800,0,0,0,0,0,0.1210387307,0.0394821167,0.3274440765,0.7068157196,1.949214935,8.658599854,0.382822247
all_winter,487800,snowfall_rate_mmh,mm h-1 water equivalent,487800,0,0,0,0,0,0.02121831482,0,0.0008583068848,0.06287097931,0.5765687227,5.478358269,0.1417206261
all_winter,487800,fg10,m s-1,487800,0,0.529062748,2.14604001,3.378077984,4.690076351,5.416904342,6.681674242,9.310091496,11.20276542,15.29173435,33.52711487,2.909051472
all_winter,487800,low_cloud_cover_pct,percent,487800,0,0,0,0.1953125,15.64025879,34.6701464,72.70202637,97.78137207,100,100,100,38.11404768
all_winter,487800,tcslw,kg m-2,487800,0,0,0,0,0.002410888672,0.03584771279,0.03244018555,0.1205444336,0.1970825195,0.3549807739,1.369537354,0.07518598906
all_winter,487800,cbh,m,368749,119051,27.84422302,30.12640991,196.4765625,563.2271118,1232.856228,1272.167603,3607.806201,5841.229102,8420.781484,14010.27637,1818.401388
freezing_liquid,1030,t2m_c,degC,1030,0,-7.640228271,-2.262530518,-0.7593078613,0.1628723145,0.04596356142,1.025421143,1.697357178,1.973919678,2.515186768,2.944488525,1.333077287
freezing_liquid,1030,dewpoint_depression_c,degC,1030,0,-0.001953125,0.05101318359,0.3535766602,0.7623901367,1.008882689,1.452697754,2.262243652,2.658422852,3.630826416,5.949462891,0.8635140029
freezing_liquid,1030,precip_rate_mmh,mm h-1,1030,0,0,0,0.0008583068848,0.005149841309,0.05330169085,0.02446174622,0.1144123077,0.2610969543,1.11722374,2.061653137,0.1746018409
freezing_liquid,1030,snowfall_rate_mmh,mm h-1 water equivalent,1030,0,0,0,0,0,0.004609545458,0.0001072883606,0.00171661377,0.007376074791,0.1056039333,0.718832016,0.03456821877
freezing_liquid,1030,fg10,m s-1,1030,0,1.039056778,1.91727376,2.942838907,3.784347057,4.225245815,5.14283967,6.623991776,7.808598232,10.33822289,17.4916954,1.927831205
freezing_liquid,1030,low_cloud_cover_pct,percent,1030,0,0,5.44342041,36.81182861,71.76361084,63.33259657,91.4642334,99.78271484,100,100,100,31.6493216
freezing_liquid,1030,tcslw,kg m-2,1030,0,0,0.0007934570312,0.006080627441,0.01991271973,0.03632665838,0.04637908936,0.09400024414,0.1301071167,0.2222351074,0.3689880371,0.04726525647
freezing_liquid,1030,cbh,m,1000,30,29.07717896,29.30151367,40.68527222,140.4976273,411.06667,461.3095322,1112.148438,1711.797992,3109.654739,7365.746582,690.2363454
wet_snow,12198,t2m_c,degC,12198,0,-5.492279053,-0.574810791,1.151580811,2.024749756,1.953024923,2.881713867,3.656866455,4.149224854,5.307321777,7.749664307,1.442325019
wet_snow,12198,dewpoint_depression_c,degC,12198,0,-0.002075195312,0.5460418701,2.273529053,4.348388672,4.865995325,6.92980957,9.515551758,11.09186401,13.73206665,16.79064941,3.257858698
wet_snow,12198,precip_rate_mmh,mm h-1,12198,0,0,0,0.006008148193,0.06952285767,0.2958574614,0.3313064575,0.86830616,1.357176304,2.742281914,5.713748932,0.5605548548
wet_snow,12198,snowfall_rate_mmh,mm h-1 water equivalent,12198,0,0,0,0.004398822784,0.0585258007,0.2570179446,0.2933532,0.7579708099,1.180617213,2.403574705,5.478358269,0.485653914
wet_snow,12198,fg10,m s-1,12198,0,1.048264503,2.6752707,4.490721464,6.734623909,7.367418636,9.727291107,12.50033283,13.99889636,16.82698736,27.69236755,3.601053548
wet_snow,12198,low_cloud_cover_pct,percent,12198,0,0,3.095245361,38.05160522,81.14929199,66.61341002,95.66345215,99.45678711,100,100,100,33.73645071
wet_snow,12198,tcslw,kg m-2,12198,0,0,0.001037597656,0.01364135742,0.05722045898,0.08639044761,0.1270751953,0.2068267822,0.2651855469,0.4227587891,1.104309082,0.0972185497
wet_snow,12198,cbh,m,12075,123,29.08552551,32.82538452,266.1351013,607.3566284,713.552498,979.5341797,1440.970508,1801.902588,2860.531768,6284.604492,601.0072782
accretion_relevant,13228,t2m_c,degC,13228,0,-7.640228271,-0.9231628418,0.9450073242,1.910247803,1.804531334,2.799285889,3.590032959,4.100683594,5.260202637,7.749664307,1.522441557
accretion_relevant,13228,dewpoint_depression_c,degC,13228,0,-0.002075195312,0.3499389648,1.885284424,3.998840332,4.565660731,6.65032959,9.286737061,10.95421753,13.66634766,16.79064941,3.303557879
accretion_relevant,13228,precip_rate_mmh,mm h-1,13228,0,0,0,0.005149841309,0.05664825439,0.2769708237,0.3012657166,0.8222579956,1.315784454,2.615273952,5.713748932,0.5443831057
accretion_relevant,13228,snowfall_rate_mmh,mm h-1 water equivalent,13228,0,0,0,0.002145767212,0.04224479198,0.2373641307,0.2609789371,0.7073628902,1.135314703,2.331788063,5.478358269,0.4713406796
accretion_relevant,13228,fg10,m s-1,13228,0,1.039056778,2.530789518,4.26310873,6.42831707,7.122752926,9.454810143,12.28741846,13.82300754,16.65969696,27.69236755,3.5994684
accretion_relevant,13228,low_cloud_cover_pct,percent,13228,0,0,3.236999512,37.9486084,80.59539795,66.35794903,95.42007446,99.4821167,100,100,100,33.59010009
accretion_relevant,13228,tcslw,kg m-2,13228,0,0,0.00101776123,0.01247406006,0.05238342285,0.08249222392,0.1213150024,0.2006408691,0.2619216919,0.4151528931,1.104309082,0.09523351836
accretion_relevant,13228,cbh,m,13075,153,29.07717896,29.60924377,228.4700165,574.6286621,690.4178266,955.4028015,1430.223145,1795.631323,2882.492026,7365.746582,613.5832563
