event_id,latitude,longitude,start,end,end_exclusive,duration_hours,ptype_codes,ptype_labels,dominant_ptype_code,dominant_ptype_label,freezing_liquid_hours,wet_snow_hours,temperature_mean_c,temperature_min_c,temperature_max_c,gust_mean_ms,gust_max_ms,precip_rate_mean_mmh,precip_rate_max_mmh,precipitation_water_equivalent_mm,snowfall_rate_mean_mmh,snowfall_rate_max_mmh,snowfall_water_equivalent_mm,tcslw_mean_kgm2,tcslw_max_kgm2
E00789,40.25,22.75,2012-02-07T00:00:00,2012-02-09T17:00:00,2012-02-09T18:00:00,66,6,wet_snow,6,wet_snow,0,66,2.338067257,0.6607971191,3.740142822,11.22171479,22.84390831,0.4554033279,3.019523621,30.05661964,0.3315177831,2.387595177,21.88017273,0.1992543538,0.838470459
E00746,40.25,22.5,2012-02-07T00:00:00,2012-02-09T17:00:00,2012-02-09T18:00:00,66,6,wet_snow,6,wet_snow,0,66,-0.07717895508,-2.77255249,1.818267822,9.433680621,19.89828491,0.4886627197,3.417348862,32.2517395,0.4775177349,3.16683054,31.5161705,0.1592751705,0.5952453613
E01605,40,22.75,2014-12-30T02:00:00,2015-01-01T03:00:00,2015-01-01T04:00:00,50,6,wet_snow,6,wet_snow,0,50,1.761317139,0.9769592285,2.982818604,14.82383654,16.82694817,0.2383174896,0.6823539734,11.91587448,0.2318007946,0.6799399853,11.5900383,0.08468566895,0.1477966309
E01540,40,22.5,2014-12-30T02:00:00,2015-01-01T03:00:00,2015-01-01T04:00:00,50,6,wet_snow,6,wet_snow,0,50,-1.489190674,-2.729217529,0.2425842285,12.15741079,14.56255054,0.2146282196,0.6154060364,10.73141098,0.2146453857,0.6154596806,10.73226833,0.05964599609,0.1055297852
E01758,39.75,21.75,2017-12-20T15:00:00,2017-12-22T13:00:00,2017-12-22T14:00:00,47,6,wet_snow,6,wet_snow,0,47,1.241046662,0.2967834473,3.376495361,3.532895656,5.45649147,0.1780986786,0.621843338,8.370637894,0.1699949833,0.5883693695,7.989763737,0.1172537296,0.3444519043
E00797,40.25,22.75,2014-12-30T05:00:00,2015-01-01T01:00:00,2015-01-01T02:00:00,45,6,wet_snow,6,wet_snow,0,45,1.896414524,1.037872314,3.119171143,12.98663974,14.50763416,0.1105499268,0.4428863525,4.974746704,0.1065027714,0.4398822784,4.79262495,0.06355658637,0.1242980957
E00754,40.25,22.5,2014-12-30T05:00:00,2015-01-01T01:00:00,2015-01-01T02:00:00,45,6,wet_snow,6,wet_snow,0,45,-1.260269504,-2.303436279,0.1136779785,10.52199131,12.35934448,0.1382541656,0.4832267761,6.221437454,0.138283968,0.4832267761,6.22277832,0.05186564128,0.1015319824
E02163,39.75,22.75,2014-12-30T01:00:00,2014-12-31T14:00:00,2014-12-31T15:00:00,38,6,wet_snow,6,wet_snow,0,38,1.673547042,0.952545166,3.1222229,13.20339567,16.12407303,0.4744968916,0.9527206421,18.03088188,0.4624495381,0.9525597095,17.57308197,0.09091909308,0.1745910645
E02020,39.75,22.25,2017-12-20T16:00:00,2017-12-22T04:00:00,2017-12-22T05:00:00,37,6,wet_snow,6,wet_snow,0,37,1.723726015,0.7621154785,4.177154541,3.407624734,4.851835251,0.1177504256,0.4351615906,4.356765747,0.08023864514,0.3163933754,2.96882987,0.06351697767,0.2375793457
E01892,39.75,22,2017-12-20T16:00:00,2017-12-22T04:00:00,2017-12-22T05:00:00,37,6,wet_snow,6,wet_snow,0,37,1.527410559,0.7704162598,3.509185791,2.820156407,4.013430595,0.1424441466,0.4785060883,5.270433426,0.1359575504,0.4555463791,5.030429363,0.08938021273,0.2950439453
E02649,39.5,22.75,2019-02-23T08:00:00,2019-02-24T19:00:00,2019-02-24T20:00:00,36,6,wet_snow,6,wet_snow,0,36,2.056552463,1.152008057,2.897613525,14.45974204,19.69391823,0.6296515465,2.189540863,22.66745567,0.578546524,1.627188921,20.82767487,0.09701114231,0.2419433594
E00788,40.25,22.75,2012-02-01T04:00:00,2012-02-02T12:00:00,2012-02-02T13:00:00,33,6,wet_snow,6,wet_snow,0,33,3.175911643,1.994537354,3.830352783,12.32361666,15.41574383,0.5887985229,1.204204559,19.43035126,0.4812907089,0.998210907,15.88259315,0.1666167288,0.2256774902
E00745,40.25,22.5,2012-02-01T04:00:00,2012-02-02T12:00:00,2012-02-02T13:00:00,33,6,wet_snow,6,wet_snow,0,33,-0.121969512,-2.271575928,0.8952941895,10.14046681,13.65071869,0.756298412,1.523065567,24.9578476,0.7321552797,1.499676704,24.16112518,0.1654561361,0.2523803711
E02603,39.5,22.75,2014-12-31T09:00:00,2015-01-01T16:00:00,2015-01-01T17:00:00,32,6,wet_snow,6,wet_snow,0,32,2.05821991,0.3683166504,3.402862549,13.27696368,16.27261925,0.2477020025,0.7995128632,7.926464081,0.2464966848,0.7981181145,7.887893677,0.07075881958,0.165802002
E03331,39.25,22.75,2019-02-23T11:00:00,2019-02-24T17:00:00,2019-02-24T18:00:00,31,6,wet_snow,6,wet_snow,0,31,2.634158227,1.771148682,3.421539307,12.84521158,16.96448708,0.7222790872,1.622200012,22.3906517,0.6930897313,1.373720169,21.48578072,0.1076896421,0.2176818848
E01640,40,22.75,2019-01-04T09:00:00,2019-01-05T14:00:00,2019-01-05T15:00:00,30,6,wet_snow,6,wet_snow,0,30,2.091823324,1.625274658,3.090118408,14.6500439,17.53325462,1.43614769,2.573204041,43.08443451,1.239715219,2.217060328,37.19145966,0.2018900553,0.4271240234
E01575,40,22.5,2019-01-04T09:00:00,2019-01-05T14:00:00,2019-01-05T15:00:00,30,6,wet_snow,6,wet_snow,0,30,-0.9124735514,-1.791595459,0.5008850098,10.40639153,13.2866497,1.051754951,2.065944672,31.55264854,1.022955179,2.016484737,30.68865776,0.1236877441,0.2743835449
E02157,39.75,22.75,2012-02-08T08:00:00,2012-02-09T11:00:00,2012-02-09T12:00:00,28,6,wet_snow,6,wet_snow,0,28,2.410443987,1.488189697,3.184112549,11.49133216,13.79862118,0.3613318716,0.6789207458,10.1172924,0.3492236137,0.676882267,9.778260231,0.1089150565,0.1419372559
E01014,40,21.75,2018-12-31T07:00:00,2019-01-01T08:00:00,2019-01-01T09:00:00,26,6,wet_snow,6,wet_snow,0,26,3.05940364,0.9730529785,4.487945557,6.309223652,8.369274139,0.1712652353,0.4669189453,4.452896118,0.1351441328,0.4368782043,3.513747454,0.02406545786,0.0553894043
E02634,39.5,22.75,2016-12-29T21:00:00,2016-12-30T21:00:00,2016-12-30T22:00:00,25,6,wet_snow,6,wet_snow,0,25,3.008624268,1.0753479,4.847930908,10.75871872,14.36341,0.004943847656,0.02403259277,0.1235961914,0.003433227539,0.02210140228,0.08583068848,0.006771240234,0.02041625977
E03266,39.25,22.75,2014-12-30T00:00:00,2014-12-31T00:00:00,2014-12-31T01:00:00,25,6,wet_snow,6,wet_snow,0,25,1.597374268,0.3562316895,4.478424072,9.132800102,13.92752075,0.7923030853,1.409339905,19.80757713,0.7679679394,1.409286261,19.19919968,0.1404406738,0.2177124023
E02591,39.5,22.75,2012-02-09T14:00:00,2012-02-10T13:00:00,2012-02-10T14:00:00,24,6,wet_snow,6,wet_snow,0,24,2.143122355,1.299224854,3.515533447,9.154965599,13.41828728,0.1501500607,0.2982616425,3.603601456,0.1309633255,0.2736926079,3.143119812,0.05901845296,0.09939575195
E02152,39.75,22.75,2012-01-30T19:00:00,2012-01-31T18:00:00,2012-01-31T19:00:00,24,6,wet_snow,6,wet_snow,0,24,1.342158,0.360748291,2.100616455,9.403321226,12.10342598,0.01662969589,0.05836486816,0.3991127014,0.01581385732,0.05310773849,0.3795325756,0.1249599457,0.1797790527
E02425,39.5,22.25,2014-12-31T07:00:00,2015-01-01T05:00:00,2015-01-01T06:00:00,23,6,wet_snow,6,wet_snow,0,23,2.170780348,-0.8733825684,3.457550049,5.23844267,8.493386269,0.1426841902,0.3334522247,3.281736374,0.1426375431,0.3336668015,3.28066349,0.08011793054,0.1238708496
