latitude,longitude,timestamp_count,t2m_c_mean,t2m_c_median,t2m_c_p05,t2m_c_p95,t2m_c_p99,t2m_c_min,t2m_c_max,t2m_c_missing_count,dewpoint_depression_c_mean,dewpoint_depression_c_median,dewpoint_depression_c_p05,dewpoint_depression_c_p95,dewpoint_depression_c_p99,dewpoint_depression_c_min,dewpoint_depression_c_max,dewpoint_depression_c_missing_count,precip_rate_mmh_mean,precip_rate_mmh_median,precip_rate_mmh_p05,precip_rate_mmh_p95,precip_rate_mmh_p99,precip_rate_mmh_min,precip_rate_mmh_max,precip_rate_mmh_missing_count,snowfall_rate_mmh_mean,snowfall_rate_mmh_median,snowfall_rate_mmh_p05,snowfall_rate_mmh_p95,snowfall_rate_mmh_p99,snowfall_rate_mmh_min,snowfall_rate_mmh_max,snowfall_rate_mmh_missing_count,fg10_mean,fg10_median,fg10_p05,fg10_p95,fg10_p99,fg10_min,fg10_max,fg10_missing_count,low_cloud_cover_pct_mean,low_cloud_cover_pct_median,low_cloud_cover_pct_p05,low_cloud_cover_pct_p95,low_cloud_cover_pct_p99,low_cloud_cover_pct_min,low_cloud_cover_pct_max,low_cloud_cover_pct_missing_count,tcslw_mean,tcslw_median,tcslw_p05,tcslw_p95,tcslw_p99,tcslw_min,tcslw_max,tcslw_missing_count,cbh_mean,cbh_median,cbh_p05,cbh_p95,cbh_p99,cbh_min,cbh_max,cbh_missing_count,t2m_at_or_below_0_c_count,t2m_at_or_below_0_c_pct,t2m_at_or_below_minus_5_c_count,t2m_at_or_below_minus_5_c_pct,t2m_at_or_below_minus_10_c_count,t2m_at_or_below_minus_10_c_pct,freezing_rain_count,freezing_rain_pct_all_hours,freezing_drizzle_count,freezing_drizzle_pct_all_hours,freezing_liquid_count,freezing_liquid_pct_all_hours,wet_snow_count,wet_snow_pct_all_hours,accretion_relevant_count,accretion_relevant_pct_all_hours,event_count,maximum_event_duration_hours
40.25,21.75,19512,3.731633467,3.628326416,-3.964953613,11.78322754,15.10099365,-16.57064819,20.9581604,0,4.630948207,3.490356445,0.4783508301,12.49331055,16.37369507,-0.00244140625,28.77722168,0,0.08622630056,0,0,0.5160355568,1.479257584,0,4.055500031,0,0.02481955554,0,0,0.1082780957,0.622023046,0,3.379261494,0,5.824025654,5.270537376,2.415552378,11.33116527,14.71599528,1.082227707,23.2709465,0,39.34177072,27.3147583,0,100,100,0,100,0,0.0267302117,0.002853393555,0,0.1355865479,0.2655374146,0,0.5673217773,0,1071.297588,431.6806641,29.7446228,5599.95625,8037.808984,27.87545776,13205.00684,5065,4282,21.94546945,599,3.069905699,110,0.5637556376,75,0.3843788438,0,0,75,0.3843788438,855,4.381918819,930,4.766297663,290,21
40.25,22,19512,3.157053361,3.021942139,-4.61519165,11.26092834,14.53921875,-15.99154663,20.02163696,0,4.101307292,2.891418457,0.195703125,11.96547241,15.94743042,-0.00244140625,26.56066895,0,0.0953528494,0,0,0.5750656128,1.584151268,0,4.828834534,0,0.03235694227,0,0,0.1537442207,0.7807255983,0,4.131782055,0,6.005670183,5.446820259,2.493757248,11.71491437,15.58881446,1.1117239,26.85535049,0,40.55853606,23.33831787,0,100,100,0,100,0,0.02588386348,0.00244140625,0,0.1368240356,0.2520718384,0,0.8495788574,0,1130.226467,448.3624878,29.62895508,5932.237939,8214.995469,27.95556641,13161.75684,5065,5009,25.67138171,820,4.202542025,141,0.7226322263,187,0.9583845838,0,0,187,0.9583845838,654,3.351783518,841,4.310168102,271,16
40.25,22.25,19512,4.007508869,3.987823486,-4.079180908,12.08034058,15.20305054,-16.38095093,19.34390259,0,4.205373061,3.209411621,0.428302002,11.46975708,15.00270752,-0.002075195312,22.58520508,0,0.1219492557,0,0,0.7205057144,1.859903812,0,7.04498291,0,0.03351620862,0,0,0.1628637314,0.7935197353,0,4.953932762,0,6.11883179,5.571341991,2.795255125,11.38139257,14.83769473,1.285832405,25.56921768,0,33.56494333,16.06750488,0,100,100,0,100,0,0.03304363578,0.002288818359,0,0.1877746582,0.318878479,0,0.876159668,0,1357.944367,542.2424316,29.85058136,6243.043164,8440.778105,28.41734314,13114.75684,5497,4053,20.77183272,657,3.367158672,88,0.45100451,21,0.1076260763,0,0,21,0.1076260763,610,3.126281263,631,3.233907339,178,16
40.25,22.5,19512,6.742500577,6.948516846,0.2599853516,12.61337891,14.61888794,-11.09927368,17.38394165,0,4.404781002,3.76171875,1.200476074,9.787258911,12.28933716,0.07250976562,18.24145508,0,0.134373591,0.0004291534424,0,0.7623696327,2.045731544,0,5.672550201,0,0.02329453166,0,0,0.1161932945,0.5326035619,0,3.330123425,0,6.223067224,5.597441196,3.012824059,11.49317665,14.74269036,1.566781044,21.60827637,0,32.99520679,17.12036133,0,100,100,0,100,0,0.03565784985,0.002166748047,0,0.2029464722,0.3233880615,0,0.8068847656,0,1368.922623,641.1108093,72.15571518,5399.088672,8359.697168,28.6000824,14010.27637,4824,870,4.458794588,78,0.3997539975,4,0.020500205,0,0,0,0,0,0,327,1.675891759,327,1.675891759,43,66
40.25,22.75,19512,9.915121813,10.35098267,4.141479492,14.13477783,15.74711548,-4.546539307,17.50991821,0,4.948583874,4.410522461,1.627264404,9.735986328,11.93724487,0.1670532227,15.15771484,0,0.1298011009,0,0,0.7656097412,1.96094799,0,6.641578674,0,0.007515532614,0,0,0,0.1854908466,0,2.724051476,0,6.508999614,5.416886806,2.468450069,14.01919646,17.02416513,0.6204990149,22.84390831,0,32.2353815,11.25640869,0,99.83215332,100,0,100,0,0.03531677071,0.001602172852,0,0.2113143921,0.3241577148,0,1.034637451,0,1483.05164,767.1939087,116.1349701,6030.805542,8883.477617,28.6000824,14010.27637,4824,94,0.4817548175,0,0,0,0,0,0,0,0,0,0,327,1.675891759,327,1.675891759,43,66
40,21.75,19512,4.447009041,4.3487854,-3.195056152,12.45479126,15.51906006,-14.70346069,21.03237915,0,4.823077371,3.833862305,0.5834411621,12.51454468,15.9739209,-0.000732421875,26.4901123,0,0.09677568485,0,0,0.5810308456,1.609900475,0,4.366207123,0,0.02236410261,0,0,0.1003628969,0.5343797207,0,4.063332081,0,5.367631682,4.745092869,2.233577728,10.70944891,14.23960042,0.9756332636,20.49164963,0,36.72634373,20.95184326,0,100,100,0,100,0,0.02925378175,0.002593994141,0,0.1541351318,0.2877911377,0,0.5190124512,0,1029.43823,403.1834106,29.91848755,5422.689941,8187.347168,28.12376404,10947.40625,4711,3460,17.73267733,393,2.014145141,41,0.2101271013,43,0.2203772038,0,0,43,0.2203772038,842,4.315293153,885,4.535670357,227,26
40,22,19512,3.751971212,3.725738525,-4.20581665,11.83453369,14.73415771,-17.52308655,20.03726196,0,4.344631112,3.329956055,0.3092956543,11.98486938,15.64397278,-0.001953125,24.61901855,0,0.09787856873,0,0,0.5990982056,1.583576202,0,5.233955383,0,0.02696332676,0,0,0.1238483191,0.6839901209,0,4.76821661,0,5.539017675,4.979990005,2.494484663,10.62030725,14.36774742,0.8109076023,24.14744568,0,35.63517046,14.63470459,0,99.83215332,100,0,100,0,0.02685225777,0.001953125,0,0.1422424316,0.2603829956,0,0.6427001953,0,1155.650882,440.923584,29.83614502,5940.344238,8329.0075,28.12376404,12971.00488,5363,4309,22.08384584,634,3.249282493,81,0.4151291513,127,0.6508815088,0,0,127,0.6508815088,691,3.541410414,818,4.192291923,241,16
40,22.25,19512,3.775516318,3.70010376,-4.121417236,11.79032593,14.81504395,-15.9883728,19.08023071,0,4.278466602,3.346862793,0.3461364746,11.45337219,15.18891724,-0.001953125,23.3704834,0,0.1282825021,0,0,0.7613182068,1.958853722,0,5.7472229,0,0.04028618556,0,0,0.2126348019,0.9515898228,0,5.273330212,0,6.384286747,5.839140892,2.884584534,11.70191693,15.72274483,1.21335125,27.69236755,0,33.99505865,12.01934814,0,99.71923828,100,0,100,0,0.03601376704,0.002319335938,0,0.1923187256,0.3394674683,0,0.9401245117,0,1393.0632,535.3137207,29.92775269,6351.35166,8423.140312,28.94348145,12949.50488,5383,4126,21.14596146,657,3.367158672,89,0.4561295613,109,0.5586305863,0,0,109,0.5586305863,677,3.469659697,786,4.028290283,223,22
40,22.5,19512,6.415903383,6.545440674,-0.05888671875,12.29298706,14.48831543,-9.986419678,17.7081604,0,4.673861908,4.082550049,1.243319702,10.01707764,12.54267456,0.1632080078,18.82739258,0,0.144318373,0,0,0.8218288422,2.089033127,0,5.83820343,0,0.02812067136,0,0,0.1440963149,0.6311784983,0,4.489910603,0,6.495636844,5.814964294,2.833837318,12.30700898,15.45325869,1.319533348,25.24398804,0,32.25678025,12.04986572,0,99.83215332,100,0,100,0,0.03935399824,0.002593994141,0,0.2166244507,0.355617981,0,1.025360107,0,1457.69328,675.2515869,79.71191025,5964.084473,8592.500244,28.76724243,13053.00684,5086,1008,5.166051661,85,0.4356293563,0,0,0,0,0,0,0,0,444,2.275522755,444,2.275522755,65,50
40,22.75,19512,9.642042766,10.1149292,3.921972656,13.77820435,15.15065552,-3.743804932,16.42886353,0,5.18812907,4.671234131,1.70368042,9.915594482,11.96430176,0.3000488281,16.86254883,0,0.1513763987,0,0,0.8902573586,2.313523293,0,7.183170319,0,0.01167682209,0,0,0,0.3336828947,0,4.157960415,0,6.710107126,5.746222019,2.178331327,14.51360531,17.83834385,0.5708018541,25.59449577,0,30.47430892,8.62121582,0,99.8840332,100,0,100,0,0.03936412384,0.001861572266,0,0.2262893677,0.3852438354,0,1.254577637,0,1628.306721,765.3388062,124.5652351,6626.927368,9019.125,28.75291443,12894.64062,5086,85,0.4356293563,0,0,0,0,0,0,0,0,0,0,444,2.275522755,444,2.275522755,65,50
