category,minimum_precip_rate_mmh,count_grid_cell_hours,unfiltered_category_count,pct_of_unfiltered_category_retained,pct_of_all_valid_grid_cell_hours
freezing_rain,0,1030,1030,100,0.2111521115
freezing_rain,0.01,424,1030,41.16504854,0.08692086921
freezing_rain,0.1,115,1030,11.16504854,0.02357523575
freezing_drizzle,0,0,0,,0
freezing_drizzle,0.01,0,0,,0
freezing_drizzle,0.1,0,0,,0
freezing_liquid,0,1030,1030,100,0.2111521115
freezing_liquid,0.01,424,1030,41.16504854,0.08692086921
freezing_liquid,0.1,115,1030,11.16504854,0.02357523575
wet_snow,0,12198,12198,100,2.500615006
wet_snow,0.01,8654,12198,70.94605673,1.774087741
wet_snow,0.1,5427,12198,44.49090015,1.112546125
accretion_relevant,0,13228,13228,100,2.711767118
accretion_relevant,0.01,9078,13228,68.62715452,1.86100861
accretion_relevant,0.1,5542,13228,41.89597823,1.136121361
