category,ptype_codes,count_grid_cell_hours,all_valid_grid_cell_hours,pct_of_all_valid_grid_cell_hours,count_among_ptype_precipitation,ptype_precipitation_grid_cell_hours,pct_of_ptype_precipitation
freezing_rain,3,831,433200,0.1918282548,831,202377,0.4106197839
freezing_drizzle,12,0,433200,0,0,202377,0
freezing_liquid,3;12,831,433200,0.1918282548,831,202377,0.4106197839
wet_snow,6,9273,433200,2.140581717,9273,202377,4.582042426
accretion_relevant,3;6;12,10104,433200,2.332409972,10104,202377,4.99266221
rain,1,167758,433200,38.72530009,167758,202377,82.8938071
ordinary_snow,5,18382,433200,4.243305633,18382,202377,9.083047975
rain_and_snow,7,3145,433200,0.7259926131,3145,202377,1.554030349
ice_pellets,8,2988,433200,0.6897506925,2988,202377,1.476452364
thunderstorm,2,0,433200,0,0,202377,0
no_precipitation,0,230823,433200,53.283241,0,202377,0
