metric,cell_count,domain_min,domain_median,domain_mean,domain_max
t2m_c_mean,25,3.561619023,6.539457119,6.427778135,10.16844407
t2m_at_or_below_0_c_pct,25,0.4905355494,11.75554017,10.81463527,22.72622345
t2m_at_or_below_minus_5_c_pct,25,0,1.12534626,1.251846722,3.185595568
t2m_at_or_below_minus_10_c_pct,25,0,0.0634810711,0.1195752539,0.4847645429
fg10_p95,25,7.639776993,10.58287773,10.65949518,14.4754909
fg10_max,25,17.22516441,21.60827637,21.94564232,29.3622303
precip_rate_mmh_mean,25,0.082091595,0.1150814037,0.1160758133,0.1722666448
precip_rate_mmh_max,25,4.055500031,5.825328827,6.057947159,8.658599854
tcslw_mean,25,0.02563766539,0.03524722331,0.03485055267,0.04169673691
tcslw_max,25,0.5190124512,0.8495788574,0.8989916992,1.369537354
freezing_liquid_pct_all_hours,25,0,0.1154201293,0.1918282548,0.8137119114
wet_snow_pct_all_hours,25,1.015697138,1.840951062,2.140581717,4.051246537
accretion_relevant_pct_all_hours,25,1.12534626,1.979455217,2.332409972,4.443674977
event_count,25,32,93,104.56,247
maximum_event_duration_hours,25,16,23,28.6,50
